id,liveness,loudness,analysis_url,valence,mode,speechiness,tempo,key,type,acousticness,time_signature,uri,energy,track_href,duration_ms,danceability,instrumentalness
799t1OoBhDCttwwKkQXdLJ,0.192,-8.317,https://api.spotify.com/v1/audio-analysis/799t1OoBhDCttwwKkQXdLJ,0.534,1,0.0598,115.963,8,audio_features,0.572,4,spotify:track:799t1OoBhDCttwwKkQXdLJ,0.577,https://api.spotify.com/v1/tracks/799t1OoBhDCttwwKkQXdLJ,287941,0.577,0.0
7eJMfftS33KTjuF7lTsMCx,0.696,-8.765,https://api.spotify.com/v1/audio-analysis/7eJMfftS33KTjuF7lTsMCx,0.348,0,0.135,144.026,8,audio_features,0.731,4,spotify:track:7eJMfftS33KTjuF7lTsMCx,0.431,https://api.spotify.com/v1/tracks/7eJMfftS33KTjuF7lTsMCx,173333,0.726,0.0
5Mv7UmRWMUyQrOULQk3f39,0.145,-10.636,https://api.spotify.com/v1/audio-analysis/5Mv7UmRWMUyQrOULQk3f39,0.708,0,0.0376,108.032,0,audio_features,0.556,4,spotify:track:5Mv7UmRWMUyQrOULQk3f39,0.335,https://api.spotify.com/v1/tracks/5Mv7UmRWMUyQrOULQk3f39,203786,0.834,7.47e-06
66kGihUqR3kRZLxtFBSobF,0.086,-15.478,https://api.spotify.com/v1/audio-analysis/66kGihUqR3kRZLxtFBSobF,0.694,0,0.0912,147.06,11,audio_features,0.647,4,spotify:track:66kGihUqR3kRZLxtFBSobF,0.478,https://api.spotify.com/v1/tracks/66kGihUqR3kRZLxtFBSobF,619000,0.434,3.92e-06
5kZqHfA2UXHHc3NpVo58V1,0.225,-10.355,https://api.spotify.com/v1/audio-analysis/5kZqHfA2UXHHc3NpVo58V1,0.326,0,0.134,87.011,6,audio_features,0.0426,4,spotify:track:5kZqHfA2UXHHc3NpVo58V1,0.588,https://api.spotify.com/v1/tracks/5kZqHfA2UXHHc3NpVo58V1,230345,0.679,4.87e-06
5X76oXHcR5uCXali0gOyX5,0.0555,-13.475,https://api.spotify.com/v1/audio-analysis/5X76oXHcR5uCXali0gOyX5,0.486,1,0.0306,109.837,0,audio_features,0.178,4,spotify:track:5X76oXHcR5uCXali0gOyX5,0.576,https://api.spotify.com/v1/tracks/5X76oXHcR5uCXali0gOyX5,303200,0.55,0.00935
7qg7Bchlftv1ZPqNESwUsT,0.0936,-6.712,https://api.spotify.com/v1/audio-analysis/7qg7Bchlftv1ZPqNESwUsT,0.475,0,0.0847,89.02,9,audio_features,0.347,4,spotify:track:7qg7Bchlftv1ZPqNESwUsT,0.412,https://api.spotify.com/v1/tracks/7qg7Bchlftv1ZPqNESwUsT,240000,0.822,0.0
1lsBTdE6MGsKeZCD6llNu7,0.0688,-3.692,https://api.spotify.com/v1/audio-analysis/1lsBTdE6MGsKeZCD6llNu7,0.697,0,0.074,112.009,6,audio_features,0.193,4,spotify:track:1lsBTdE6MGsKeZCD6llNu7,0.632,https://api.spotify.com/v1/tracks/1lsBTdE6MGsKeZCD6llNu7,180493,0.856,0.0
5cF0dROlMOK5uNZtivgu50,0.134,-4.586,https://api.spotify.com/v1/audio-analysis/5cF0dROlMOK5uNZtivgu50,0.797,0,0.0542,100.066,3,audio_features,0.109,4,spotify:track:5cF0dROlMOK5uNZtivgu50,0.613,https://api.spotify.com/v1/tracks/5cF0dROlMOK5uNZtivgu50,208787,0.775,2.33e-05
6wmAHw1szh5RCKSRjiXhPe,0.0383,-5.253,https://api.spotify.com/v1/audio-analysis/6wmAHw1szh5RCKSRjiXhPe,0.811,0,0.0778,109.974,1,audio_features,0.211,4,spotify:track:6wmAHw1szh5RCKSRjiXhPe,0.561,https://api.spotify.com/v1/tracks/6wmAHw1szh5RCKSRjiXhPe,200853,0.845,3.49e-06
